Visa,Credit,Citi,Credit,W Fargo,Debit,Newd,Debit,Fred,Credit
Gas - Auto,13-Oct-19,Murphys,26.77,,,,,,
Entertainment,13-Oct-19,Coyote Cafe,222.7,,,,,,
Travel,13-Oct-19,RG Arts & Crafts,50,,,,,,
Home Misc.,15-Oct-19,ClamXAV - AntiVirus,32.35,,,,,,
Groceries,17-Oct-19,Moons Coffee,29.13,,,,,,
Home Misc.,17-Oct-19,Lowe's - Salt,21,,,,,,
Combined Accts,17-Oct-19,Kinetico - filters,134.74,,,,,,
Chiro,20-Oct-19,HealthQuest,150.23,,,,,,
Combined Accts,21-Oct-19,TLC -filters,64.62,,,,,,
Home Misc.,24-Oct-19,,21.55,,,,,,
Groceries,24-Oct-19,Olive Garden,57.58,,,,,,
New Mac Pro,24-Oct-19,Best Buy,75.5,,,,,,
New Mac Pro,24-Oct-19,Office 2016,168.99,,,,,,
New Mac Pro,24-Oct-19,Apple,"2,714.14",,,,,,
Pres. HMO,25-Oct-19,Presbyterian,38,,,,,,
next,,,,,,,,,
Groceries,4-Oct-19,Albertsons,44.13,,,,,,
Groceries,4-Oct-19,PetCo,11.31,,,,,,
Groceries,13-Oct-19,Albertsons,30.25,,,,,,
Groceries,13-Oct-19,Sprouts,58.34,,,,,,
Groceries,13-Oct-19,Albertsons,20.08,,,,,,
Groceries,15-Oct-19,Albertsons,10.78,,,,,,
Groceries,15-Oct-19,Sprouts,56.6,,,,,,
Groceries,17-Oct-19,Albertsons,30.87,,,,,,
Gas - Auto,17-Oct-19,Speedway,30.76,,,,,,
Groceries,21-Oct-19,Sprouts,37.93,,,,,,
Groceries,21-Oct-19,Albertsons,39.25,,,,,,
Groceries,24-Oct-19,Albertsons,46.38,,,,,,
Groceries,24-Oct-19,Albertsons,51.71,,,,,,
Groceries,24-Oct-19,CoctCo,80.37,,,,,,
next,,,,,,,,,
