Visa,Cr,Citi,Cr
26.77,13-Oct-19,Gas - Auto,Murphys
222.7,13-Oct-19,Entertainment,Coyote Cafe
50,13-Oct-19,Travel,RG Arts & Crafts
32.35,15-Oct-19,Home Misc.,ClamXAV - AntiVirus
29.13,17-Oct-19,Groceries,Moons Coffee
21,17-Oct-19,Home Misc.,Lowe's - Salt
134.74,17-Oct-19,Combined Accts,Kinetico - filters
150.23,20-Oct-19,Chiro,HealthQuest
64.62,21-Oct-19,Combined Accts,TLC -filters
21.55,24-Oct-19,Home Misc.,
57.58,24-Oct-19,Groceries,Olive Garden
75.5,24-Oct-19,New Mac Pro,Best Buy
168.99,24-Oct-19,New Mac Pro,Office 2016
"2,714.14",24-Oct-19,New Mac Pro,Apple
38,25-Oct-19,Pres. HMO,Presbyterian
next,,,
44.13,4-Oct-19,Groceries,Albertsons
11.31,4-Oct-19,Groceries,PetCo
30.25,13-Oct-19,Groceries,Albertsons
58.34,13-Oct-19,Groceries,Sprouts
20.08,13-Oct-19,Groceries,Albertsons
10.78,15-Oct-19,Groceries,Albertsons
56.6,15-Oct-19,Groceries,Sprouts
30.87,17-Oct-19,Groceries,Albertsons
30.76,17-Oct-19,Gas - Auto,Speedway
37.93,21-Oct-19,Groceries,Sprouts
39.25,21-Oct-19,Groceries,Albertsons
46.38,24-Oct-19,Groceries,Albertsons
51.71,24-Oct-19,Groceries,Albertsons
80.37,24-Oct-19,Groceries,CoctCo
